id,stable_height
95,4
706,2
2854,1
3093,5
4283,2
5449,1
5625,2
7860,1
8051,1
8812,1
10265,1
11329,2
11485,1
13901,3
15142,1
15176,3
15598,1
16132,2
16584,2
16840,1
16864,3
17375,2
17774,5
19140,6
19671,2
19834,2
19985,3
21275,5
21380,2
21728,2
23345,3
23418,4
24335,1
24604,2
26374,3
26566,4
27296,3
27572,5
27686,5
28146,1
28412,4
29213,2
29410,3
29443,5
29720,4
30147,2
30154,3
30813,1
30895,5
32835,1
33287,3
34108,2
34114,2
34252,4
34299,1
34477,5
34504,2
35120,2
36273,3
36647,3
36733,6
36818,1
37705,3
38348,4
38456,5
38463,1
39034,4
39083,2
39689,3
39736,1
39787,4
40053,1
40534,2
42846,4
43823,3
44092,2
44561,2
46366,1
47517,3
47714,1
48210,3
48662,1
48911,1
49738,3
50682,1
51047,4
51350,2
51358,4
51742,5
52173,5
52566,3
53571,2
53690,3
53776,4
54106,1
54175,3
54301,2
54722,4
54994,5
55065,2
55360,1
56121,4
57055,1
57233,5
57361,3
58573,2
58649,4
58971,4
59340,2
59595,5
59737,6
59816,2
61023,4
61254,2
61653,1
62582,3
62708,2
62948,3
63231,4
63533,1
64426,1
64510,1
64548,3
65240,3
65880,2
66512,2
67525,3
67803,1
68278,3
68332,4
68336,2
72268,2
73169,1
73291,6
73607,2
73682,2
74252,1
75673,2
76320,1
77121,4
77735,3
77856,2
78413,3
79194,2
79534,5
79542,1
79836,3
80405,2
81589,4
81667,1
81850,2
81990,4
82475,2
83152,1
83166,1
83743,2
85657,6
86855,3
88122,5
88459,4
88575,3
89578,3
89966,1
91735,1
91892,3
93230,1
93632,1
93803,5
94032,2
95115,6
96274,5
97119,1
97125,1
97450,5
97521,2
98063,2
98114,1
98444,3
99074,2
99081,5
99283,4
99787,1
100156,1
100357,2
100998,1
102119,1
102131,4
102213,3
103351,3
103671,1
104154,1
104298,5
104408,5
105572,1
105753,1
106117,2
106155,4
106207,2
106615,4
106839,1
107131,1
107154,1
108129,6
108162,2
108306,1
108313,2
109548,5
110737,1
111486,3
111571,4
111936,3
112148,3
112408,3
114074,2
114456,3
115147,5
116446,2
116758,4
117059,1
117554,5
117913,3
118233,2
118392,2
118644,5
119874,3
120797,2
121757,2
123349,3
123544,4
123994,6
125981,4
126835,3
127129,3
128888,1
129188,4
129287,4
129464,4
129853,3
129905,3
130200,3
130227,1
130325,4
130451,3
130956,4
131307,1
131690,5
131853,1
132664,3
132993,1
133736,2
133791,2
133859,1
134412,2
135144,2
137131,3
138612,1
138697,3
139770,4
140013,4
140787,1
142146,2
143614,1
143947,3
144874,3
145326,1
146340,1
146432,6
146463,1
147577,5
147836,1
148326,3
148338,3
148342,3
148680,4
149231,5
149364,5
149931,3
150322,1
152583,2
153062,2
153166,4
153485,4
153594,5
153750,2
153874,2
153991,3
154636,6
154783,2
156410,4
157695,3
159154,5
160186,1
160678,2
160767,3
160830,3
161233,1
161573,2
162816,4
162880,3
162955,3
163241,1
163678,2
163971,2
164394,1
166392,5
166440,3
166524,4
166951,4
167011,4
168218,3
168854,1
168964,2
168977,4
169539,5
169810,1
170088,5
170812,4
172079,3
172864,5
173421,5
173904,6
175611,4
175835,4
176261,2
176288,1
178697,1
178917,1
180650,2
180789,5
181460,3
183277,6
184804,5
185665,5
186121,3
187583,1
188235,3
188273,3
188693,1
189252,1
189455,4
189862,5
190413,1
190634,1
192273,6
192280,3
193309,6
193681,1
194172,1
194193,2
194759,2
194979,1
195221,4
196076,5
196703,1
196971,1
197275,1
197775,3
197965,2
198759,1
198897,6
201206,4
201852,1
202505,3
202553,4
204110,4
204709,1
204844,2
205035,3
206022,5
206418,3
207361,1
207717,2
208215,6
208356,6
208487,2
208661,3
209064,4
210092,1
210440,3
210928,2
211025,3
211455,1
211900,3
212838,4
213031,3
213324,2
213442,3
213706,1
215078,6
215174,2
215479,2
216439,4
218073,1
218252,3
218676,1
218778,1
218794,4
219106,3
220083,3
220655,2
221457,1
221825,2
222007,2
223728,5
223844,6
223959,2
224340,1
224410,5
225057,4
225294,2
225499,2
227053,4
227386,2
227765,6
228559,2
229160,4
229187,2
229955,4
230102,3
232815,1
232854,2
233633,1
234011,1
234222,2
234519,4
235368,2
237047,2
238507,3
238627,2
239039,3
239535,2
239782,2
240253,4
240723,3
241219,2
241409,2
241894,4
241957,4
242191,3
243322,4
244493,2
244965,5
246299,2
246400,4
246866,1
249064,3
249348,2
250208,3
250440,2
250605,4
250926,1
251617,3
251679,5
252051,1
252347,2
252511,4
254660,1
254905,6
254906,4
256185,3
257019,4
257319,2
257757,2
257869,2
258043,1
258090,3
258701,1
258928,1
259582,4
259963,2
260141,2
260613,2
262448,1
262663,3
262842,2
263087,2
264173,4
264469,2
264942,5
265630,1
265867,3
266195,2
267273,1
268004,2
269574,3
269635,2
271313,1
271432,5
272065,4
272335,2
272687,2
272836,2
273096,4
273104,3
273961,1
275254,4
275325,1
275591,1
